model_name,model_version,organization_id,blood_group,component_type,forecast_horizon,mae,rmse,wape,bias,trained_at
seasonal_naive,v1,HOSP_A,B_POSITIVE,PLASMA,24h,1.3659,1.7215,0.4384,-0.0122,2026-09-05T14:50:53.945402
xgboost,v1,HOSP_A,B_POSITIVE,PLASMA,24h,0.8906,1.1492,0.2858,-0.1086,2026-09-05T14:50:53.945402
seasonal_naive,v1,HOSP_A,B_POSITIVE,PLATELETS,24h,1.5671,1.9459,0.5908,-0.0671,2026-09-05T14:50:54.072955
xgboost,v1,HOSP_A,B_POSITIVE,PLATELETS,24h,0.8156,1.0308,0.3075,-0.1419,2026-09-05T14:50:54.072955
seasonal_naive,v1,HOSP_A,B_POSITIVE,RBC,24h,1.7012,2.0851,0.3671,0.0671,2026-09-05T14:50:54.216934
xgboost,v1,HOSP_A,B_POSITIVE,RBC,24h,0.8094,1.0326,0.1747,-0.0015,2026-09-05T14:50:54.216934
seasonal_naive,v1,HOSP_A,B_POSITIVE,WHOLE_BLOOD,24h,1.3598,1.7268,0.6483,-0.0183,2026-09-05T14:50:54.271948
xgboost,v1,HOSP_A,B_POSITIVE,WHOLE_BLOOD,24h,0.7489,0.9403,0.357,-0.0879,2026-09-05T14:50:54.271948
seasonal_naive,v1,HOSP_A,O_NEGATIVE,PLASMA,24h,1.4146,1.8146,0.9915,0.0854,2026-09-05T14:50:54.315239
xgboost,v1,HOSP_A,O_NEGATIVE,PLASMA,24h,0.8086,0.9927,0.5667,0.0796,2026-09-05T14:50:54.315239
seasonal_naive,v1,HOSP_A,O_NEGATIVE,PLATELETS,24h,1.189,1.5121,0.859,0.0183,2026-09-05T14:50:54.345150
xgboost,v1,HOSP_A,O_NEGATIVE,PLATELETS,24h,0.7852,0.9572,0.5673,0.0157,2026-09-05T14:50:54.345150
seasonal_naive,v1,HOSP_A,O_NEGATIVE,RBC,24h,1.4573,1.8196,0.4819,-0.0061,2026-09-05T14:50:54.372719
xgboost,v1,HOSP_A,O_NEGATIVE,RBC,24h,0.8319,1.012,0.2751,-0.0831,2026-09-05T14:50:54.372719
seasonal_naive,v1,HOSP_A,O_NEGATIVE,WHOLE_BLOOD,24h,1.3171,1.6454,1.0385,-0.0244,2026-09-05T14:50:54.399444
xgboost,v1,HOSP_A,O_NEGATIVE,WHOLE_BLOOD,24h,0.782,0.9246,0.6166,0.051,2026-09-05T14:50:54.399444
seasonal_naive,v1,HOSP_A,O_POSITIVE,PLASMA,24h,1.3171,1.6454,0.175,0.0732,2026-09-05T14:50:54.433907
xgboost,v1,HOSP_A,O_POSITIVE,PLASMA,24h,0.8381,1.0308,0.1114,0.022,2026-09-05T14:50:54.433907
seasonal_naive,v1,HOSP_A,O_POSITIVE,PLATELETS,24h,1.4573,1.833,0.2395,0.0305,2026-09-05T14:50:54.467106
xgboost,v1,HOSP_A,O_POSITIVE,PLATELETS,24h,0.8635,1.1039,0.1419,-0.0191,2026-09-05T14:50:54.467106
seasonal_naive,v1,HOSP_A,O_POSITIVE,RBC,24h,1.8293,2.4043,0.125,0.0732,2026-09-05T14:50:54.495479
xgboost,v1,HOSP_A,O_POSITIVE,RBC,24h,1.0767,1.3429,0.0736,-0.1205,2026-09-05T14:50:54.495479
seasonal_naive,v1,HOSP_A,O_POSITIVE,WHOLE_BLOOD,24h,1.3171,1.6638,0.2532,-0.0122,2026-09-05T14:50:54.518474
xgboost,v1,HOSP_A,O_POSITIVE,WHOLE_BLOOD,24h,0.7808,0.9879,0.1501,0.0147,2026-09-05T14:50:54.518474
seasonal_naive,v1,HOSP_B,AB_NEGATIVE,PLASMA,24h,1.0732,1.4816,1.1069,0.0366,2026-09-05T14:50:54.540369
